title,times_rented
"POCUS PULP",26
"POLISH BROOKLYN",18
"POLLOCK DELIVERANCE",18
"POND SEATTLE",19
"POSEIDON FOREVER",17
"POTTER CONNECTICUT",17
"PREJUDICE OLEANDER",20
"PRIMARY GLASS",27
"PRINCESS GIANT",27
"PULP BEVERLY",30
"QUEEN LUKE",22
"QUEST MUSSOLINI",20
"RACER EGG",18
"RAGE GAMES",19
"RANGE MOONWALKER",27
"REAR TRADING",17
"REDEMPTION COMFORTS",20
"REIGN GENTLEMEN",20
"REMEMBER DIARY",18
"REQUIEM TYCOON",19
"RESURRECTION SILVERADO",21
"REUNION WITCHES",20
"RIDGEMONT SUBMARINE",32
"RIVER OUTLAW",20
"ROAD ROXANNE",19
"ROBBERS JOON",31
"ROCK INSTINCT",17
"ROCKETEER MOTHER",33
"ROMAN PUNK",24
"ROOM ROMAN",20
"ROOTS REMEMBER",17
"ROSES TREASURE",28
"ROUGE SQUAD",18
"ROXANNE REBEL",19
"RUGRATS SHAKESPEARE",30
"RUSH GOODFELLAS",31
"SABRINA MIDNIGHT",21
"SALUTE APOLLO",23
"SAMURAI LION",25
"SATISFACTION CONFIDENTIAL",17
"SATURDAY LAMBS",28
"SCALAWAG DUCK",32
"SCARFACE BANG",18
"SCORPION APOLLO",23
"SEA VIRGIN",22
"SEABISCUIT PUNK",26
"SEATTLE EXPECATIONS",24
"SECRET GROUNDHOG",21
"SECRETARY ROUGE",18
"SECRETS PARADISE",20
"SHAKESPEARE SADDLE",22
"SHAWSHANK BUBBLE",19
"SHEPHERD MIDSUMMER",25
"SHOCK CABIN",30
"SHOOTIST SUPERFLY",24
"SHOW LORD",25
"SINNERS ATLANTIS",22
"SLACKER LIAISONS",17
"SLEEPING SUSPECTS",24
"SLEEPLESS MONSOON",20
"SLEEPY JAPANESE",21
"SLEUTH ORIENT",21
"SLUMS DUCK",24
"SMOKING BARBARELLA",18
"SNATCH SLIPPER",22
"SNOWMAN ROLLERCOASTER",23
"SOMETHING DUCK",19
"SOUTH WAIT",22
"SPICE SORORITY",20
"SPLENDOR PATTON",21
"SPY MILE",27
"STAGECOACH ARMAGEDDON",26
"STAR OPERATION",21
"STEEL SANTA",23
"STEPMOM DREAM",20
"STING PERSONAL",21
"STORM HAPPINESS",29
"STORY SIDE",28
"STRAIGHT HOURS",20
"STRANGELOVE DESIRE",24
"STRANGERS GRAFFITI",17
"STREETCAR INTENTIONS",25
"STRICTLY SCARFACE",23
"SUGAR WONKA",17
"SUIT WALLS",21
"SUN CONFESSIONS",25
"SUNDANCE INVASION",19
"SUNRISE LEAGUE",24
"SUSPECTS QUILLS",30
"SWARM GOLD",27
"SWEDEN SHINING",18
"SWEETHEARTS SUSPECTS",29
"TALENTED HOMICIDE",29
"TAXI KICK",17
"TEEN APOLLO",17
"TELEGRAPH VOYAGE",27
"TELEMARK HEARTBREAKERS",25
"THIEF PELICAN",19
"TIGHTS DAWN",26
"TIMBERLAND SKY",31
"TITANIC BOONDOCK",23
"TITANS JERK",29
"TOMORROW HUSTLER",25
"TORQUE BOUND",27
"TOURIST PELICAN",22
"TRACY CIDER",26
"TRADING PINOCCHIO",25
"TRAMP OTHERS",20
"TRIP NEWTON",28
"TROJAN TOMORROW",19
"TROUBLE DATE",23
"TRUMAN CRAZY",23
"UNBREAKABLE KARATE",21
"UNDEFEATED DALMATIONS",21
"UNFORGIVEN ZOOLANDER",18
"UNITED PILOT",17
"VACATION BOONDOCK",21
"VANISHING ROCKY",18
"VELVET TERMINATOR",26
"VIDEOTAPE ARSENIC",29
"VIRGIN DAISY",17
"VIRGINIAN PLUTO",29
"VOICE PEACH",19
"VOLCANO TEXAS",22
"VOYAGE LEGALLY",28
"WAIT CIDER",21
"WARDROBE PHANTOM",27
"WASH HEAVENLY",23
"WATERFRONT DELIVERANCE",17
"WEDDING APOLLO",24
"WEEKEND PERSONAL",18
"WESTWARD SEABISCUIT",26
"WHALE BIKINI",18
"WHISPERER GIANT",22
"WIFE TURN",31
"WIND PHANTOM",23
"WITCHES PANIC",30
"WOLVES DESIRE",21
"WOMEN DORADO",23
"WONDERLAND CHRISTMAS",22
"WONKA SEA",18
"WORKING MICROCOSMOS",25
"WRONG BEHAVIOR",20
"YENTL IDAHO",23
"ZOOLANDER FICTION",17
"ZORRO ARK",31
